ID STAR;SGidSourceEnt
104405;UBFC_ADUM_ UBFC_86529
105670;UBFC_ADUM_ UBFC_86527
127088;UBFC_ADUM_ UBFC_86521
128515;UBFC_ADUM_ UBFC_86516
102485;UBFC_ADUM_ UBFC_86513
129155;UBFC_ADUM_ UBFC_86509
170351;UBFC_ADUM_ UBFC_86507
128829;UBFC_ADUM_ UBFC_86502
121317;UBFC_ADUM_ UBFC_86500
146911;UBFC_ADUM_ UBFC_86496
109399;UBFC_ADUM_ UBFC_86495
135893;UBFC_ADUM_ UBFC_86494
112635;UBFC_ADUM_ UBFC_86492
145931;UBFC_ADUM_ UBFC_86488
121380;UBFC_ADUM_ UBFC_86487
153849;UBFC_ADUM_ UBFC_86485
112727;UBFC_ADUM_ UBFC_86484
104425;UBFC_ADUM_ UBFC_86483
103656;UBFC_ADUM_ UBFC_86481
122704;UBFC_ADUM_ UBFC_86476
104474;UBFC_ADUM_ UBFC_86474
120142;UBFC_ADUM_ UBFC_86472
105995;UBFC_ADUM_ UBFC_86471
112637;UBFC_ADUM_ UBFC_86470
113401;UBFC_ADUM_ UBFC_86467
156941;UBFC_ADUM_ UBFC_86464
171164;UBFC_ADUM_ UBFC_86463
103608;UBFC_ADUM_ UBFC_86462
179176;UBFC_ADUM_ UBFC_86459
112299;UBFC_ADUM_ UBFC_86458
138708;UBFC_ADUM_ UBFC_86353
141445;UBFC_ADUM_ UBFC_86317
137183;UBFC_ADUM_ UBFC_86294
137449;UBFC_ADUM_ UBFC_86290
169668;UBFC_ADUM_ UBFC_86265
169874;UBFC_ADUM_ UBFC_86264
130011;UBFC_ADUM_ UBFC_86263
130025;UBFC_ADUM_ UBFC_86262
136906;UBFC_ADUM_ UBFC_86261
129073;UBFC_ADUM_ UBFC_86260
172202;UBFC_ADUM_ UBFC_86258
138063;UBFC_ADUM_ UBFC_86257
119273;UBFC_ADUM_ UBFC_86256
107453;UBFC_ADUM_ UBFC_86255
