IDstar,ancienne_url,nouvelle_url
3253,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/d3f7bb34-30c2-499a-9785-12b3f6782c8f,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Plancke.pdf
3622,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/7fb7a307-9ff6-47a6-a4eb-93391f51bb07,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Prouvost.pdf
3766,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/8af7c607-b7e8-41a4-a491-a17889191c00,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Raoul.pdf
3693,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/65b65ea1-c032-415a-bbfc-e4852ce365b7,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Raulin.pdf
4261,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/3a62a5b5-a2df-4df3-9bda-770b87e25ed3,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Renaut.pdf
3393,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/26708a06-9a1c-40b7-8542-f79d6048c799,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Robillard.pdf
3738,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/9aca6e72-9655-4bf9-a74d-95d4da6115a3,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Rougelot.pdf
2745,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/83c2a2bd-4ac0-49dc-8c1f-d8e7df37a67d,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Rouissi.pdf
3662,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/f938f28c-c76c-4d50-b58b-3391f9353233,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Sallem.pdf
3665,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/cbe98b5a-875c-4b04-afc4-c02fdff6cd89,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Santana.pdf
3722,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/9364a492-e640-4dc0-9513-69d54c268c09,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Saupin.pdf
3689,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/e1f699e8-e5b1-4717-a99c-9e2e6c65a7d6,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Sauvage.pdf
2709,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/97a32130-123a-4b9d-a153-fa3d3eacfb69,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Serwatka.pdf
3405,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/ba5936c1-1daf-423d-9f26-3197de964648,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Shchepetov.pdf
3669,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/77dcff8d-352c-418f-a460-355df50d7495,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Silva.pdf
3708,http://ori-nuxeo.univ-lille1.fr/nuxeo/site/esupversions/51495138-bb6f-4f77-9fa6-0762c32fa6be,https://pepite-depot.univ-lille.fr/LIBRE/Autres/2008/50376-2008-Sionneau.pdf
