Id;OLD_COD_IND;ETAB;COD_IND
126582;21412199;UNIP;233579
126583;21409717;UNIP;231253
126584;21513551;UNIP;247055
126585;21511249;UNIP;245288
126586;21510318;UNIP;244614
126587;21107834;UNIP;190639
126588;20703933;UNIP;138645
126589;21413314;UNIP;234563
126591;21614005;UNIP;261021
126592;21623814;UNIP;267568
126593;21513165;UNIP;246746
126600;21614530;UNIP;261416
126601;21616699;UNIP;263073
126602;21313444;UNIP;221781
126650;21616490;UNIP;262891
126651;21211137;UNIP;206886
126669;21617041;UNIP;263330
126670;21201334;UNIP;198890
126671;21409308;UNIP;230882
126672;21616751;UNIP;263122
126735;21615610;UNIP;262204
126736;20110566;UNIP;75260
126737;21309592;UNIP;218319
126738;19900500;UNIP;46476
126752;20307945;UNIP;94790
126753;21514975;UNIP;248316
126754;20701836;UNIP;136687
126759;21313462;UNIP;221798
126760;21616460;UNIP;262869
126930;21617198;UNIP;263430
127045;21207137;UNIP;203171
127084;21616783;UNIP;263144
127110;21617128;UNIP;263382
127111;21208213;UNIP;204168
127112;21408847;UNIP;230445
127113;21104229;UNIP;188096
127114;21614755;UNIP;261589
127296;21617241;UNIP;263457
127297;21403632;UNIP;226895
127298;21510788;UNIP;244954
127317;21616721;UNIP;263094
127318;21314066;UNIP;222350
127342;465542;UNIP;496165
127374;21621154;UNIP;265855
127375;21209772;UNIP;205635
127387;21616747;UNIP;263119
127440;21617761;UNIP;263805
127602;19713823;UNIP;39832
127638;21617408;UNIP;263571
127659;21620469;UNIP;265488
127660;21519980;UNIP;252668
127661;21410333;UNIP;231846
127728;21514304;UNIP;247718
127803;21621323;UNIP;265944
127804;21623786;UNIP;267546
127889;21623465;UNIP;267278
127890;21617189;UNIP;263424
127891;21416319;UNIP;236600
127892;21616843;UNIP;263178
127893;21307969;UNIP;216838
127983;21313743;UNIP;222058
128004;21007413;UNIP;176209
128059;21718287;UNIP;281674
128095;21717647;UNIP;281119
128110;21001311;UNIP;172215
128182;21621473;UNIP;266033
128202;21209656;UNIP;205528
128231;522080;UNIP;529657
128378;21310564;UNIP;219209
128388;21616842;UNIP;263177
128389;21214046;UNIP;209218
128390;21623536;UNIP;267344
128391;21617208;UNIP;263438
128431;21514576;UNIP;247961
128497;386447;UNIP;436834
128724;21416236;UNIP;236525
128725;21207621;UNIP;203610
128727;21624166;UNIP;267800
128920;20401666;UNIP;101714
128921;21617073;UNIP;263355
129222;21616607;UNIP;262996
129270;579369;UNIP;558963
129272;524000;UNIP;530916
129273;579644;UNIP;559072
129274;569711;UNIP;554644
129275;567558;UNIP;553390
129276;517343;UNIP;526334
129277;577609;UNIP;558238
129278;524711;UNIP;531490
129291;603625;UNIP;571771
129292;444529;UNIP;479142
129294;547161;UNIP;543657
129295;577940;UNIP;558348
129296;498731;UNIP;514846
129297;547907;UNIP;543972
129298;303628;UNIP;378046
129299;463974;UNIP;494940
129300;569020;UNIP;554383
129301;552338;UNIP;545764
129302;645087;UNIP;590634
129303;579299;UNIP;558926
129304;522322;UNIP;529831
129305;545631;UNIP;542861
129306;578204;UNIP;558452
129307;544332;UNIP;542184
129308;579907;UNIP;559206
129309;579182;UNIP;558881
129310;578836;UNIP;558702
129311;579364;UNIP;558958
129313;577745;UNIP;558280
129314;517029;UNIP;526104
129315;577554;UNIP;558200
129316;579685;UNIP;559099
129317;577778;UNIP;558307
129318;584298;UNIP;560485
129319;583937;UNIP;560414
129320;580126;UNIP;559296
129322;580385;UNIP;559371
129323;577548;UNIP;558195
129324;579879;UNIP;559179
129325;484800;UNIP;509217
129326;579438;UNIP;558997
129327;583692;UNIP;560332
129328;454879;UNIP;487640
129330;577892;UNIP;558340
129331;447123;UNIP;481313
129332;306404;UNIP;379911
129333;498875;UNIP;514968
129334;536384;UNIP;536331
129335;579662;UNIP;559087
129336;572695;UNIP;556168
129337;578315;UNIP;558486
129338;516428;UNIP;525639
129339;579847;UNIP;559159
129341;443306;UNIP;478047
129356;21510981;UNIP;245100
129359;580507;UNIP;559413
129455;576490;UNIP;557825
129456;579048;UNIP;558809
129457;578567;UNIP;558610
129575;580666;UNIP;559450
129583;577535;UNIP;558185
129584;570881;UNIP;555255
129821;442999;UNIP;477807
129822;435565;UNIP;471875
129823;579051;UNIP;558812
129895;517534;UNIP;526479
129907;527020;UNIP;532963
130187;21113868;UNIP;196247
130247;579376;UNIP;558969
130248;579510;UNIP;559011
130265;580765;UNIP;559480
130350;516342;UNIP;525564
130351;500248;UNIP;516037
130352;577553;UNIP;558199
130610;573777;UNIP;556621
130755;577146;UNIP;558040
130770;569138;UNIP;554471
130771;575515;UNIP;557375
130803;11239540;UNIP;
130835;21506398;UNIP;242270
131096;579849;UNIP;559161
131251;601127;UNIP;570459
131252;581388;UNIP;559743
131261;508554;UNIP;522489
131262;503760;UNIP;518959
131263;21408264;UNIP;229999
131348;547969;UNIP;544021
131349;583332;UNIP;560236
131370;579952;UNIP;559223
131371;432373;UNIP;469245
131372;567278;UNIP;553247
131484;583234;UNIP;560219
131485;580863;UNIP;559501
131486;579961;UNIP;559228
131487;580165;UNIP;559297
131488;21111031;UNIP;193616
131490;20504966;UNIP;116198
131569;572802;UNIP;556213
131570;556855;UNIP;547479
131670;549337;UNIP;544482
131673;631828;UNIP;586006
131712;631846;UNIP;586008
131786;568850;UNIP;554282
131909;581676;UNIP;559873
131910;473300;UNIP;501354
131912;19716644;UNIP;42419
132007;524035;UNIP;530947
132008;455196;UNIP;487910
132034;21504585;UNIP;241169
132195;571370;UNIP;555537
132196;21624102;UNIP;267757
132513;20704766;UNIP;139413
132514;21315296;UNIP;223512
132629;631868;UNIP;586012
132630;548148;UNIP;544099
132639;631873;UNIP;586017
132909;464355;UNIP;495257
132912;21412885;UNIP;234199
132926;517491;UNIP;526450
132927;578456;UNIP;558568
132928;522637;UNIP;530015
132929;19203349;UNIP;10463
133074;575443;UNIP;557360
133099;480949;UNIP;507711
133262;585018;UNIP;560584
133263;580869;UNIP;559506
133264;580696;UNIP;559475
133265;481118;UNIP;507805
133266;573350;UNIP;556417
133267;631866;UNIP;586010
133286;583731;UNIP;560335
133287;569543;UNIP;554574
133293;462281;UNIP;493561
133294;582145;UNIP;559962
133482;544501;UNIP;542250
133593;573275;UNIP;556395
133673;21623585;UNIP;267383
133757;517357;UNIP;526345
133762;568978;UNIP;554370
133818;545118;UNIP;542545
133838;461809;UNIP;493168
133839;21503731;UNIP;240586
133840;21200530;UNIP;198274
133841;21307225;UNIP;216151
133842;21712810;UNIP;276930
133843;19609098;UNIP;27062
