IDSTEP;SGentreeIdSource;new
213989;UBFC_ADUM_ UBFC_105075;UBFC_ADUM_UBFC_105075
214031;UBFC_ADUM_ UBFC_105074;UBFC_ADUM_UBFC_105074
213988;UBFC_ADUM_ UBFC_105071;UBFC_ADUM_UBFC_105071
214029;UBFC_ADUM_ UBFC_105070;UBFC_ADUM_UBFC_105070
214027;UBFC_ADUM_ UBFC_105066;UBFC_ADUM_UBFC_105066
213975;UBFC_ADUM_ UBFC_105025;UBFC_ADUM_UBFC_105025
213973;UBFC_ADUM_ UBFC_105021;UBFC_ADUM_UBFC_105021
213914;UBFC_ADUM_ UBFC_104964;UBFC_ADUM_UBFC_104964
217456;UBFC_ADUM_ UBFC_104918;UBFC_ADUM_UBFC_104918
213855;UBFC_ADUM_ UBFC_104917;UBFC_ADUM_UBFC_104917
213877;UBFC_ADUM_ UBFC_104916;UBFC_ADUM_UBFC_104916
213874;UBFC_ADUM_ UBFC_104909;UBFC_ADUM_UBFC_104909
213873;UBFC_ADUM_ UBFC_104908;UBFC_ADUM_UBFC_104908
213851;UBFC_ADUM_ UBFC_104906;UBFC_ADUM_UBFC_104906
213850;UBFC_ADUM_ UBFC_104902;UBFC_ADUM_UBFC_104902
213848;UBFC_ADUM_ UBFC_104900;UBFC_ADUM_UBFC_104900
213852;UBFC_ADUM_ UBFC_104899;UBFC_ADUM_UBFC_104899
259248;UBFC_ADUM_ UBFC_104898;UBFC_ADUM_UBFC_104898
213811;UBFC_ADUM_ UBFC_104897;UBFC_ADUM_UBFC_104897
213846;UBFC_ADUM_ UBFC_104895;UBFC_ADUM_UBFC_104895
213839;UBFC_ADUM_ UBFC_104886;UBFC_ADUM_UBFC_104886
